"event_time","coefficient","std_error","ci_lower","ci_upper"
-24,"0.1854","0.0580","0.0716","0.2991"
-23,"0.0791","0.0388","0.0031","0.1552"
-22,"0.0726","0.0375","-0.0008","0.1460"
-21,"0.0737","0.0367","0.0018","0.1457"
-20,"0.0709","0.0360","0.0002","0.1415"
-19,"0.0638","0.0343","-0.0035","0.1311"
-18,"0.0625","0.0340","-0.0042","0.1293"
-17,"0.0580","0.0325","-0.0057","0.1216"
-16,"0.0464","0.0307","-0.0137","0.1066"
-15,"0.0472","0.0295","-0.0106","0.1050"
-14,"0.0410","0.0269","-0.0117","0.0937"
-13,"0.0360","0.0257","-0.0144","0.0864"
-12,"0.0310","0.0252","-0.0183","0.0803"
-11,"0.0275","0.0243","-0.0201","0.0751"
-10,"0.0168","0.0216","-0.0255","0.0590"
-9,"0.0192","0.0203","-0.0205","0.0590"
-8,"0.0215","0.0191","-0.0159","0.0589"
-7,"0.0245","0.0174","-0.0096","0.0587"
-6,"0.0085","0.0155","-0.0218","0.0389"
-5,"0.0070","0.0138","-0.0201","0.0341"
-4,"0.0069","0.0132","-0.0190","0.0328"
-3,"0.0057","0.0121","-0.0180","0.0295"
-2,"0.0116","0.0085","-0.0049","0.0282"
-1,"0.0000","0.0000","0.0000","0.0000"
0,"-0.1083","0.0209","-0.1492","-0.0673"
1,"-0.0759","0.0412","-0.1566","0.0048"
2,"-0.0423","0.0459","-0.1323","0.0476"
3,"-0.0271","0.0475","-0.1202","0.0661"
4,"-0.0306","0.0527","-0.1339","0.0727"
5,"-0.0309","0.0579","-0.1444","0.0826"
6,"-0.0523","0.0597","-0.1694","0.0647"
7,"-0.0382","0.0615","-0.1588","0.0824"
8,"-0.0319","0.0634","-0.1563","0.0924"
9,"-0.0501","0.0668","-0.1811","0.0809"
10,"-0.0610","0.0704","-0.1990","0.0770"
11,"-0.0563","0.0742","-0.2017","0.0891"
12,"-0.0521","0.0764","-0.2019","0.0977"
13,"-0.0683","0.0802","-0.2255","0.0889"
14,"-0.1011","0.0848","-0.2672","0.0651"
15,"-0.1555","0.0891","-0.3302","0.0192"
16,"-0.1710","0.0934","-0.3540","0.0120"
17,"-0.1231","0.0926","-0.3046","0.0585"
18,"-0.1284","0.1012","-0.3267","0.0699"
19,"-0.0494","0.0890","-0.2239","0.1251"
20,"-0.0259","0.0919","-0.2060","0.1541"
21,"-0.0228","0.0972","-0.2133","0.1677"
22,"-0.0661","0.1005","-0.2631","0.1308"
23,"-0.0770","0.1025","-0.2779","0.1239"
24,"-0.0012","0.1186","-0.2337","0.2312"
